year,county,population,assault,arson,burglary,drug violation,murder,theft,rape,robbery,total
1990,ADAMS,13603,14,1,10,27,1,55,1,1,1398
1991,ADAMS,13798,33,0,12,45,1,76,6,0,1538
1992,ADAMS,14143,14,0,25,45,1,117,11,0,1175
1993,ADAMS,14535,29,0,6,37,0,136,2,4,1129
1994,ADAMS,15006,36,1,12,37,0,53,5,4,1047
1995,ADAMS,15366,26,1,23,38,2,138,1,1,1169
1996,ADAMS,15674,26,0,20,59,1,80,4,5,1078
1997,ADAMS,15989,24,2,14,55,0,57,2,0,941
1998,ADAMS,16091,21,0,26,46,0,44,3,5,931
1999,ADAMS,16190,18,1,28,45,0,31,0,0,812
2000,ADAMS,16428,16,0,21,40,0,45,3,5,754
2001,ADAMS,16600,18,0,20,25,0,64,10,4,781
2002,ADAMS,16600,12,2,25,30,0,65,3,5,778
2003,ADAMS,16600,17,0,18,39,0,67,6,0,904
2004,ADAMS,16700,24,0,20,86,0,53,9,6,959
2005,ADAMS,17000,20,0,24,78,0,66,7,6,848
2006,ADAMS,17300,17,0,36,66,1,52,4,0,867
2007,ADAMS,17600,15,0,38,67,1,63,9,1,924
2008,ADAMS,17800,15,1,21,73,0,60,7,0,948
2009,ADAMS,18000,17,0,23,46,0,62,4,10,902
2010,ADAMS,18300,14,0,17,42,0,81,2,8,761
2011,ADAMS,18950,18,0,31,43,0,91,2,1,483
2012,ADAMS,19050,9,0,12,19,0,42,3,0,261
2013,ADAMS,19200,145,0,8,13,1,41,4,3,376
2014,ADAMS,19400,127,6,26,32,1,72,4,0,488
2015,ADAMS,19410,119,2,23,43,0,68,8,8,511
2016,ADAMS,19510,146,0,10,72,1,67,6,3,584
2017,ADAMS,19870,109,1,16,78,1,50,2,5,466
2018,ADAMS,20020,103,0,12,46,1,41,5,2,443
2019,ADAMS,20150,92,0,4,41,0,40,4,1,401
2020,ADAMS,20450,77,0,15,20,1,36,6,2,291
1990,ASOTIN,17605,10,2,11,18,2,73,2,0,456
